Date,Type,Block,Street,Story,Area,Model  ,LeaseBegin,LeaseRemaining(in months),ResalePrice
2022-04,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,113,Premium Apartment,2003,964,540000
2022-09,5 ROOM,18,EDGEFIELD PLAINS,01 TO 03,112,Premium Apartment,2003,959,525000
2022-01,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,113,Premium Apartment,2003,966,520000
2022-03,4 ROOM,18,EDGEFIELD PLAINS,07 TO 09,95,Premium Apartment,2003,965,428000
2022-06,4 ROOM,18,EDGEFIELD PLAINS,10 TO 12,95,Premium Apartment,2003,962,475000
2022-07,4 ROOM,18,EDGEFIELD PLAINS,04 TO 06,95,Premium Apartment,2003,961,465000
2022-10,4 ROOM,18,EDGEFIELD PLAINS,01 TO 03,95,Premium Apartment,2003,958,463000
2022-11,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,113,Premium Apartment,2003,957,585000
2022-01,5 ROOM,18,EDGEFIELD PLAINS,04 TO 06,112,Premium Apartment,2003,965,485000
2022-02,4 ROOM,18,EDGEFIELD PLAINS,16 TO 18,95,Premium Apartment,2003,965,470000
2022-06,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,113,Premium Apartment,2003,961,568000
2022-11,4 ROOM,18,EDGEFIELD PLAINS,01 TO 03,94,Premium Apartment,2003,957,460000
2022-01,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,112,Premium Apartment,2003,966,495000
2022-09,5 ROOM,18,EDGEFIELD PLAINS,10 TO 12,112,Premium Apartment,2003,958,565000
2022-03,4 ROOM,18,EDGEFIELD PLAINS,04 TO 06,94,Premium Apartment,2003,964,415000
2022-04,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,112,Premium Apartment,2003,962,510000
2022-01,5 ROOM,1,EDGEDALE PLAINS,16 TO 18,111,Premium Apartment,2003,971,490000
2022-01,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,112,Premium Apartment,2003,970,480000
2022-02,4 ROOM,1,EDGEDALE PLAINS,04 TO 06,91,Premium Apartment,2003,970,415000
2022-07,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,111,Premium Apartment,2003,965,490000
2022-07,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,111,Premium Apartment,2003,965,490000
2022-07,5 ROOM,1,EDGEDALE PLAINS,10 TO 12,111,Premium Apartment,2003,964,525000
2022-08,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,112,Premium Apartment,2003,964,515000
2022-08,5 ROOM,1,EDGEDALE PLAINS,13 TO 15,111,Premium Apartment,2003,963,545000
2022-01,5 ROOM,1,EDGEDALE PLAINS,04 TO 06,111,Premium Apartment,2003,971,480000
2022-03,4 ROOM,1,EDGEDALE PLAINS,16 TO 18,91,Premium Apartment,2003,969,445000
2022-04,5 ROOM,1,EDGEDALE PLAINS,04 TO 06,111,Premium Apartment,2003,967,480888
2022-10,4 ROOM,1,EDGEDALE PLAINS,16 TO 18,91,Premium Apartment,2003,962,485000
2022-11,5 ROOM,1,EDGEDALE PLAINS,13 TO 15,111,Premium Apartment,2003,961,575000
2022-01,5 ROOM,1,EDGEDALE PLAINS,10 TO 12,111,Premium Apartment,2003,971,495000
2022-02,4 ROOM,1,EDGEDALE PLAINS,13 TO 15,91,Premium Apartment,2003,970,430000
2022-03,5 ROOM,1,EDGEDALE PLAINS,16 TO 18,112,Premium Apartment,2003,968,510000
2022-05,5 ROOM,1,EDGEDALE PLAINS,04 TO 06,111,Premium Apartment,2003,967,515000
2022-06,5 ROOM,1,EDGEDALE PLAINS,10 TO 12,111,Premium Apartment,2003,966,515000
